,Accuracy,Algorithms
0,0.986,Decision_Tree
1,0.9844999999999999,Decision_Tree
2,0.9905000000000002,Decision_Tree
3,0.9879999999999999,Decision_Tree
4,0.9879999999999999,Decision_Tree
5,0.9884999999999999,Decision_Tree
6,0.9884999999999999,Decision_Tree
7,0.9875,Decision_Tree
8,0.9870000000000001,Decision_Tree
9,0.9875,Decision_Tree
10,0.9865,Decision_Tree
11,0.9899999999999999,Decision_Tree
12,0.9884999999999999,Decision_Tree
13,0.9864999999999998,Decision_Tree
14,0.982,Decision_Tree
15,0.9864999999999998,Decision_Tree
16,0.9855,Decision_Tree
17,0.9904999999999999,Decision_Tree
18,0.9875,Decision_Tree
19,0.9869999999999999,Decision_Tree
20,0.984,Decision_Tree
21,0.9865,Decision_Tree
22,0.9884999999999999,Decision_Tree
23,0.9875,Decision_Tree
24,0.9880000000000001,Decision_Tree
25,0.9884999999999999,Decision_Tree
26,0.9875,Decision_Tree
27,0.986,Decision_Tree
28,0.986,Decision_Tree
29,0.9880000000000001,Decision_Tree
30,0.9875,Random_Forest
31,0.985,Random_Forest
32,0.9879999999999999,Random_Forest
33,0.9864999999999998,Random_Forest
34,0.9865,Random_Forest
35,0.9869999999999999,Random_Forest
36,0.9874999999999998,Random_Forest
37,0.9879999999999999,Random_Forest
38,0.9889999999999999,Random_Forest
39,0.9884999999999999,Random_Forest
40,0.9855,Random_Forest
41,0.9890000000000001,Random_Forest
42,0.9870000000000001,Random_Forest
43,0.9879999999999999,Random_Forest
44,0.9874999999999998,Random_Forest
45,0.9854999999999998,Random_Forest
46,0.9855,Random_Forest
47,0.9879999999999999,Random_Forest
48,0.9889999999999999,Random_Forest
49,0.9860000000000001,Random_Forest
50,0.9875,Random_Forest
51,0.9884999999999999,Random_Forest
52,0.9869999999999999,Random_Forest
53,0.9845,Random_Forest
54,0.9889999999999999,Random_Forest
55,0.9875,Random_Forest
56,0.985,Random_Forest
57,0.9854999999999998,Random_Forest
58,0.9865,Random_Forest
59,0.9879999999999999,Random_Forest
60,0.9835,KNN
61,0.9824999999999999,KNN
62,0.9824999999999999,KNN
63,0.983,KNN
64,0.9849999999999998,KNN
65,0.9835,KNN
66,0.9845,KNN
67,0.983,KNN
68,0.983,KNN
69,0.9844999999999999,KNN
70,0.9810000000000001,KNN
71,0.983,KNN
72,0.9825000000000002,KNN
73,0.982,KNN
74,0.9845,KNN
75,0.9785,KNN
76,0.9865,KNN
77,0.9845,KNN
78,0.9824999999999999,KNN
79,0.9844999999999999,KNN
80,0.982,KNN
81,0.9834999999999999,KNN
82,0.983,KNN
83,0.984,KNN
84,0.9855,KNN
85,0.9829999999999999,KNN
86,0.9800000000000001,KNN
87,0.9814999999999999,KNN
88,0.9815000000000002,KNN
89,0.9824999999999999,KNN
90,0.9475,Logistic_Regression
91,0.9465,Logistic_Regression
92,0.9470000000000001,Logistic_Regression
93,0.946,Logistic_Regression
94,0.9465,Logistic_Regression
95,0.9465,Logistic_Regression
96,0.9469999999999998,Logistic_Regression
97,0.9480000000000001,Logistic_Regression
98,0.9465,Logistic_Regression
99,0.9465,Logistic_Regression
100,0.9475,Logistic_Regression
101,0.9479999999999998,Logistic_Regression
102,0.9475,Logistic_Regression
103,0.9475,Logistic_Regression
104,0.9484999999999999,Logistic_Regression
105,0.9475,Logistic_Regression
106,0.946,Logistic_Regression
107,0.9470000000000001,Logistic_Regression
108,0.9465,Logistic_Regression
109,0.9464999999999998,Logistic_Regression
110,0.9465,Logistic_Regression
111,0.9469999999999998,Logistic_Regression
112,0.9455,Logistic_Regression
113,0.9465,Logistic_Regression
114,0.9470000000000001,Logistic_Regression
115,0.9469999999999998,Logistic_Regression
116,0.9475,Logistic_Regression
117,0.9465,Logistic_Regression
118,0.9480000000000001,Logistic_Regression
119,0.9465,Logistic_Regression
120,0.9835,SVM
121,0.984,SVM
122,0.9834999999999999,SVM
123,0.9844999999999999,SVM
124,0.9855,SVM
125,0.9835,SVM
126,0.9839999999999998,SVM
127,0.9845,SVM
128,0.982,SVM
129,0.9829999999999999,SVM
130,0.9824999999999999,SVM
131,0.9825000000000002,SVM
132,0.9844999999999999,SVM
133,0.984,SVM
134,0.9834999999999999,SVM
135,0.9845,SVM
136,0.984,SVM
137,0.9844999999999999,SVM
138,0.985,SVM
139,0.9839999999999998,SVM
