,Decision Tree,Random Forest,KNN,Logistic Regression,SVM,Neural Network
0,0.9864999999999998,0.9864999999999998,0.9835,0.9475,0.9845,0.9979999999999999
1,0.985,0.9879999999999999,0.9824999999999999,0.9465,0.984,0.9974999999999999
2,0.9905000000000002,0.9865,0.9824999999999999,0.9470000000000001,0.9864999999999998,0.9979999999999999
3,0.9875,0.9875,0.983,0.946,0.985,0.9974999999999999
4,0.9884999999999999,0.9889999999999999,0.9849999999999998,0.9465,0.985,0.9974999999999999
5,0.9884999999999999,0.9884999999999999,0.9835,0.9465,0.9845,0.998
6,0.9884999999999999,0.9874999999999998,0.9845,0.9469999999999998,0.986,0.9969999999999999
7,0.9875,0.9879999999999999,0.983,0.9480000000000001,0.9849999999999998,0.998
8,0.9855,0.9884999999999999,0.983,0.9465,0.984,0.9979999999999999
9,0.9869999999999999,0.9869999999999999,0.9844999999999999,0.9465,0.9845,0.998
10,0.9860000000000001,0.9869999999999999,0.9810000000000001,0.9475,0.984,0.9974999999999999
11,0.9899999999999999,0.9894999999999998,0.983,0.9479999999999998,0.9845,0.9984999999999999
12,0.9889999999999999,0.9879999999999999,0.9825000000000002,0.9475,0.9855,0.9974999999999999
13,0.9864999999999998,0.986,0.982,0.9475,0.9855,0.998
14,0.9845,0.9865,0.9845,0.9484999999999999,0.983,0.9970000000000001
15,0.9864999999999998,0.9865,0.9785,0.9475,0.9865,0.998
16,0.9855,0.9845,0.9865,0.946,0.986,0.9974999999999999
17,0.9904999999999999,0.992,0.9845,0.9470000000000001,0.9865,0.9960000000000001
18,0.9875,0.9890000000000001,0.9824999999999999,0.9465,0.985,0.9970000000000001
19,0.9869999999999999,0.9875,0.9844999999999999,0.9464999999999998,0.9844999999999999,0.9974999999999999
20,0.984,0.986,0.982,0.9465,0.984,0.9970000000000001
21,0.9865,0.99,0.9834999999999999,0.9469999999999998,0.985,0.998
22,0.9889999999999999,0.9884999999999999,0.983,0.9455,0.9865,0.9974999999999999
23,0.9869999999999999,0.9865,0.984,0.9465,0.9875,0.9979999999999999
24,0.9870000000000001,0.9875,0.9855,0.9470000000000001,0.9869999999999999,0.9969999999999999
25,0.9884999999999999,0.9874999999999998,0.9829999999999999,0.9469999999999998,0.982,0.9974999999999999
26,0.9879999999999999,0.9869999999999999,0.9800000000000001,0.9475,0.984,0.998
27,0.9855,0.9865,0.9814999999999999,0.9465,0.9865,0.998
28,0.9864999999999998,0.9864999999999998,0.9815000000000002,0.9480000000000001,0.9834999999999999,0.9970000000000001
29,0.9875,0.9865,0.9824999999999999,0.9465,0.9865,0.9975000000000002
