,Accuracy,Algorithms
0,0.9959999999999999,Neural
1,0.9964999999999998,Neural
2,0.9959999999999999,Neural
3,0.9960000000000001,Neural
4,0.9955,Neural
5,0.9964999999999999,Neural
6,0.9960000000000001,Neural
7,0.9960000000000001,Neural
8,0.9959999999999999,Neural
9,0.9955,Neural
10,0.9954999999999998,Neural
11,0.9964999999999999,Neural
12,0.9964999999999999,Neural
13,0.9955,Neural
14,0.9964999999999999,Neural
15,0.9964999999999999,Neural
16,0.9959999999999999,Neural
17,0.9959999999999999,Neural
18,0.9970000000000001,Neural
19,0.9960000000000001,Neural
20,0.9955,Neural
21,0.9959999999999999,Neural
22,0.9959999999999999,Neural
23,0.9959999999999999,Neural
24,0.9959999999999999,Neural
25,0.9964999999999999,Neural
26,0.9955,Neural
27,0.9960000000000001,Neural
28,0.9964999999999999,Neural
29,0.9960000000000001,Neural
